Vehicle_ID,Lane,Frame,Timestamp,Center_X,Center_Y
3,1,1,0.03,136,160
2,2,1,0.03,318,172
8,3,41,1.37,575,177
11,2,64,2.13,306,151
13,1,71,2.37,40,308
12,2,113,3.77,339,324
34,2,156,5.2,317,302
53,1,285,9.5,100,212
73,2,299,9.97,315,307
90,2,349,11.63,327,302
91,1,351,11.7,119,336
93,1,387,12.9,48,300
111,1,534,17.8,100,218
114,1,551,18.37,31,316
115,1,567,18.9,163,117
126,2,696,23.2,340,308
142,2,767,25.57,319,325
146,1,795,26.5,98,202
148,1,801,26.7,91,224
162,1,825,27.5,173,259
169,3,849,28.3,581,202
170,2,860,28.67,314,179
180,3,979,32.63,583,186
183,3,1040,34.67,582,184
184,2,1057,35.23,294,117
194,3,1194,39.8,585,188
199,2,1284,42.8,312,163
202,3,1347,44.9,584,168
206,1,1406,46.87,119,305
209,3,1446,48.2,581,185
213,3,1525,50.83,576,183
215,2,1559,51.97,308,147
217,3,1566,52.2,583,179
221,2,1642,54.73,302,128
222,2,1646,54.87,313,169
225,1,1703,56.77,149,151
229,1,1731,57.7,141,167
226,2,1731,57.7,293,109
228,2,1737,57.9,310,170
236,2,1848,61.6,293,115
246,1,1960,65.33,121,188
250,1,1986,66.2,66,277
254,1,2094,69.8,136,159
260,1,2140,71.33,165,115
272,1,2222,74.07,165,121
283,1,2228,74.27,162,127
267,2,2230,74.33,316,316
274,1,2233,74.43,160,131
273,1,2233,74.43,97,214
298,2,2240,74.67,304,148
315,2,2274,75.8,314,255
311,1,2274,75.8,130,339
333,1,2418,80.6,157,134
332,2,2419,80.63,294,113
352,1,2443,81.43,181,250
358,2,2545,84.83,307,146
357,2,2547,84.9,307,148
375,1,2556,85.2,163,248
378,2,2651,88.37,335,294
380,1,2686,89.53,103,194
393,1,2933,97.77,133,155
396,1,2937,97.9,123,169
395,1,2949,98.3,72,230
406,1,2976,99.2,150,141
410,1,3003,100.1,63,268
443,1,3143,104.77,165,116
456,3,3319,110.63,581,189
458,2,3337,111.23,311,143
461,1,3454,115.13,119,170
478,3,3492,116.4,576,185
479,1,3514,117.13,94,225
486,3,3642,121.4,576,186
502,2,3987,132.9,305,145
509,1,4093,136.43,62,270
516,3,4146,138.2,564,191
518,1,4171,139.03,172,239
526,3,4203,140.1,579,186
528,3,4228,140.93,582,182
537,2,4245,141.5,309,257
533,2,4245,141.5,298,116
548,1,4249,141.63,181,228
568,1,4253,141.77,41,308
555,1,4277,142.57,58,277
571,2,4279,142.63,311,174
575,1,4348,144.93,61,275
580,3,4417,147.23,581,182
583,2,4468,148.93,322,291
584,1,4476,149.2,118,287
586,2,4503,150.1,306,142
598,1,4680,156.0,38,311
603,1,4686,156.2,24,333
613,3,4712,157.07,584,167
615,1,4714,157.13,114,196
617,2,4738,157.93,317,222
622,3,4794,159.8,590,189
626,2,4836,161.2,324,291
631,2,4886,162.87,305,151
637,1,4934,164.47,36,311
644,2,5006,166.87,294,108
647,3,5070,169.0,588,194
651,1,5091,169.7,154,147
652,2,5123,170.77,303,128
669,1,5341,178.03,57,259
671,3,5386,179.53,580,195
676,1,5425,180.83,29,325
678,1,5427,180.9,116,328
682,1,5474,182.47,58,279
684,2,5493,183.1,302,127
689,1,5576,185.87,45,288
692,2,5637,187.9,316,273
694,1,5641,188.03,49,293
698,2,5667,188.9,292,116
701,3,5686,189.53,572,194
704,2,5749,191.63,295,109
706,1,5765,192.17,182,241
714,1,5848,194.93,156,314
715,3,5882,196.07,583,184
716,3,5890,196.33,568,192
718,2,5901,196.7,312,237
722,3,5932,197.73,582,199
725,3,5939,197.97,568,211
733,1,6089,202.97,38,312
734,2,6102,203.4,292,114
759,3,6315,210.5,573,194
774,2,6360,212.0,316,202
777,3,6372,212.4,584,199
779,1,6395,213.17,103,336
785,2,6434,214.47,300,115
794,1,6437,214.57,129,182
797,2,6512,217.07,309,166
801,3,6566,218.87,584,187
805,2,6646,221.53,301,122
808,2,6701,223.37,308,157
817,2,6808,226.93,298,124
818,2,6811,227.03,310,192
819,3,6820,227.33,583,190
821,2,6845,228.17,294,110
823,1,6903,230.1,135,251
824,2,6927,230.9,293,119
826,2,6980,232.67,321,253
833,2,7043,234.77,314,283
837,1,7050,235.0,102,227
839,1,7135,237.83,39,309
843,2,7179,239.3,311,173
849,3,7261,242.03,587,171
850,2,7285,242.83,309,164
855,3,7341,244.7,583,184
860,1,7388,246.27,43,308
862,3,7415,247.17,582,190
864,1,7427,247.57,152,258
866,2,7465,248.83,318,308
869,2,7484,249.47,314,190
876,1,7563,252.1,35,321
877,3,7611,253.7,576,184
878,1,7615,253.83,158,292
892,1,7645,254.83,106,217
893,2,7650,255.0,319,164
900,1,7754,258.47,98,211
932,1,7844,261.47,127,288
938,1,7882,262.73,143,155
952,1,7888,262.93,129,175
948,1,7889,262.97,107,324
970,3,7893,263.1,582,185
967,1,7893,263.1,167,123
972,2,7909,263.63,314,222
973,1,7916,263.87,31,318
979,1,7974,265.8,36,312
982,1,7994,266.47,170,108
981,1,7994,266.47,170,108
983,1,7996,266.53,170,112
996,1,8002,266.73,161,128
1012,2,8023,267.43,329,308
1026,1,8034,267.8,41,310
1032,1,8160,272.0,121,288
1037,2,8173,272.43,316,186
1040,2,8187,272.9,293,118
1038,1,8187,272.9,144,226
1050,1,8222,274.07,20,333
1057,2,8261,275.37,331,309
1048,1,8266,275.53,123,179
1064,1,8363,278.77,171,241
1066,1,8375,279.17,132,299
1078,1,8461,282.03,164,240
1089,2,8532,284.4,308,335
1094,2,8593,286.43,320,309
1097,2,8612,287.07,325,177
1099,2,8690,289.67,322,253
1104,3,8761,292.03,579,191
1108,1,8801,293.37,74,253
1105,2,8804,293.47,304,281
1117,2,8848,294.93,301,342
1120,2,8899,296.63,312,275
1137,1,8929,297.63,154,145
1161,2,8977,299.23,294,113
1172,2,9025,300.83,318,188
1174,3,9045,301.5,582,186
1194,3,9161,305.37,579,185
